Symbol	Su	Sb	%elong 
Dimension	MPa	MPa	% 
1             	116,424	72,6847	-100,00 
 
Specimen	 1 
OriginalGL	 89,302 	mm	Extenso.GL	 0 mm
Width	 12,1 	mm	Thickness	 6,3 	mm
Area	 76,23 	mm2
Number	Load	Stroke	Elong	Width
X 200msec	tf	mm	mm	mm
 1 	 ,075 	 0 	 0 	 0 
 2 	 ,075 	 ,034 	 0 	 0 
 3 	 ,08 	 ,068 	 0 	 0 
 4 	 ,08 	 ,102 	 0 	 0 
 5 	 ,085 	 ,134 	 0 	 0 
 6 	 ,085 	 ,168 	 0 	 0 
 7 	 ,09 	 ,2 	 0 	 0 
 8 	 ,09 	 ,234 	 0 	 0 
 9 	 ,095 	 ,268 	 0 	 0 
 10 	 ,1 	 ,302 	 0 	 0 
 11 	 ,1 	 ,334 	 0 	 0 
 12 	 ,105 	 ,368 	 0 	 0 
 13 	 ,105 	 ,402 	 0 	 0 
 14 	 ,11 	 ,434 	 0 	 0 
 15 	 ,11 	 ,468 	 0 	 0 
 16 	 ,115 	 ,502 	 0 	 0 
 17 	 ,115 	 ,534 	 0 	 0 
 18 	 ,12 	 ,568 	 0 	 0 
 19 	 ,125 	 ,602 	 0 	 0 
 20 	 ,13 	 ,634 	 0 	 0 
 21 	 ,135 	 ,668 	 0 	 0 
 22 	 ,14 	 ,7 	 0 	 0 
 23 	 ,145 	 ,734 	 0 	 0 
 24 	 ,15 	 ,768 	 0 	 0 
 25 	 ,155 	 ,802 	 0 	 0 
 26 	 ,16 	 ,834 	 0 	 0 
 27 	 ,165 	 ,866 	 0 	 0 
 28 	 ,17 	 ,9 	 0 	 0 
 29 	 ,175 	 ,934 	 0 	 0 
 30 	 ,185 	 ,968 	 0 	 0 
 31 	 ,19 	 1,002 	 0 	 0 
 32 	 ,195 	 1,034 	 0 	 0 
 33 	 ,2 	 1,068 	 0 	 0 
 34 	 ,21 	 1,1 	 0 	 0 
 35 	 ,215 	 1,134 	 0 	 0 
 36 	 ,22 	 1,168 	 0 	 0 
 37 	 ,23 	 1,202 	 0 	 0 
 38 	 ,235 	 1,234 	 0 	 0 
 39 	 ,245 	 1,268 	 0 	 0 
 40 	 ,25 	 1,3 	 0 	 0 
 41 	 ,26 	 1,334 	 0 	 0 
 42 	 ,27 	 1,368 	 0 	 0 
 43 	 ,28 	 1,402 	 0 	 0 
 44 	 ,285 	 1,434 	 0 	 0 
 45 	 ,295 	 1,468 	 0 	 0 
 46 	 ,3 	 1,5 	 0 	 0 
 47 	 ,31 	 1,534 	 0 	 0 
 48 	 ,315 	 1,568 	 0 	 0 
 49 	 ,32 	 1,602 	 0 	 0 
 50 	 ,325 	 1,636 	 0 	 0 
 51 	 ,33 	 1,67 	 0 	 0 
 52 	 ,335 	 1,702 	 0 	 0 
 53 	 ,34 	 1,732 	 0 	 0 
 54 	 ,345 	 1,764 	 0 	 0 
 55 	 ,35 	 1,8 	 0 	 0 
 56 	 ,355 	 1,836 	 0 	 0 
 57 	 ,36 	 1,87 	 0 	 0 
 58 	 ,365 	 1,902 	 0 	 0 
 59 	 ,37 	 1,934 	 0 	 0 
 60 	 ,375 	 1,966 	 0 	 0 
 61 	 ,38 	 2 	 0 	 0 
 62 	 ,38 	 2,034 	 0 	 0 
 63 	 ,385 	 2,068 	 0 	 0 
 64 	 ,39 	 2,102 	 0 	 0 
 65 	 ,395 	 2,134 	 0 	 0 
 66 	 ,4 	 2,168 	 0 	 0 
 67 	 ,405 	 2,202 	 0 	 0 
 68 	 ,41 	 2,236 	 0 	 0 
 69 	 ,415 	 2,268 	 0 	 0 
 70 	 ,415 	 2,3 	 0 	 0 
 71 	 ,42 	 2,334 	 0 	 0 
 72 	 ,425 	 2,368 	 0 	 0 
 73 	 ,43 	 2,402 	 0 	 0 
 74 	 ,455 	 2,602 	 0 	 0 
 75 	 ,455 	 2,634 	 0 	 0 
 76 	 ,46 	 2,668 	 0 	 0 
 77 	 ,465 	 2,702 	 0 	 0 
 78 	 ,47 	 2,734 	 0 	 0 
 79 	 ,47 	 2,768 	 0 	 0 
 80 	 ,475 	 2,8 	 0 	 0 
 81 	 ,48 	 2,834 	 0 	 0 
 82 	 ,485 	 2,868 	 0 	 0 
 83 	 ,485 	 2,902 	 0 	 0 
 84 	 ,49 	 2,934 	 0 	 0 
 85 	 ,495 	 2,968 	 0 	 0 
 86 	 ,5 	 3,002 	 0 	 0 
 87 	 ,505 	 3,034 	 0 	 0 
 88 	 ,505 	 3,068 	 0 	 0 
 89 	 ,51 	 3,1 	 0 	 0 
 90 	 ,51 	 3,134 	 0 	 0 
 91 	 ,515 	 3,168 	 0 	 0 
 92 	 ,52 	 3,202 	 0 	 0 
 93 	 ,525 	 3,234 	 0 	 0 
 94 	 ,53 	 3,268 	 0 	 0 
 95 	 ,53 	 3,302 	 0 	 0 
 96 	 ,535 	 3,334 	 0 	 0 
 97 	 ,54 	 3,368 	 0 	 0 
 98 	 ,545 	 3,4 	 0 	 0 
 99 	 ,545 	 3,434 	 0 	 0 
 100 	 ,55 	 3,468 	 0 	 0 
 101 	 ,555 	 3,502 	 0 	 0 
 102 	 ,555 	 3,536 	 0 	 0 
 103 	 ,56 	 3,57 	 0 	 0 
 104 	 ,565 	 3,602 	 0 	 0 
 105 	 ,565 	 3,634 	 0 	 0 
 106 	 ,57 	 3,666 	 0 	 0 
