Symbol	Su	Sb	%elong 
Dimension	MPa	MPa	% 
1             	116,424	70,1118	19,6948 
 
Specimen	 1 
OriginalGL	 89,394 	mm	Extenso.GL	 0 mm
Width	 12,1 	mm	Thickness	 6,3 	mm
Area	 76,23 	mm2
Number	Load	Stroke	Elong	Width
X 200msec	tf	mm	mm	mm
 1 	 ,075 	 0 	 0 	 0 
 2 	 ,08 	 ,032 	 0 	 0 
 3 	 ,08 	 ,066 	 0 	 0 
 4 	 ,08 	 ,1 	 0 	 0 
 5 	 ,085 	 ,132 	 0 	 0 
 6 	 ,09 	 ,166 	 0 	 0 
 7 	 ,09 	 ,2 	 0 	 0 
 8 	 ,095 	 ,232 	 0 	 0 
 9 	 ,095 	 ,266 	 0 	 0 
 10 	 ,1 	 ,298 	 0 	 0 
 11 	 ,1 	 ,332 	 0 	 0 
 12 	 ,105 	 ,366 	 0 	 0 
 13 	 ,105 	 ,4 	 0 	 0 
 14 	 ,11 	 ,432 	 0 	 0 
 15 	 ,115 	 ,466 	 0 	 0 
 16 	 ,115 	 ,5 	 0 	 0 
 17 	 ,12 	 ,532 	 0 	 0 
 18 	 ,125 	 ,564 	 0 	 0 
 19 	 ,13 	 ,598 	 0 	 0 
 20 	 ,135 	 ,632 	 0 	 0 
 21 	 ,14 	 ,666 	 0 	 0 
 22 	 ,145 	 ,7 	 0 	 0 
 23 	 ,15 	 ,732 	 0 	 0 
 24 	 ,16 	 ,764 	 0 	 0 
 25 	 ,165 	 ,798 	 0 	 0 
 26 	 ,175 	 ,832 	 0 	 0 
 27 	 ,18 	 ,866 	 0 	 0 
 28 	 ,19 	 ,9 	 0 	 0 
 29 	 ,2 	 ,932 	 0 	 0 
 30 	 ,21 	 ,966 	 0 	 0 
 31 	 ,215 	 1 	 0 	 0 
 32 	 ,225 	 1,032 	 0 	 0 
 33 	 ,235 	 1,066 	 0 	 0 
 34 	 ,24 	 1,098 	 0 	 0 
 35 	 ,25 	 1,132 	 0 	 0 
 36 	 ,255 	 1,166 	 0 	 0 
 37 	 ,265 	 1,2 	 0 	 0 
 38 	 ,275 	 1,232 	 0 	 0 
 39 	 ,28 	 1,264 	 0 	 0 
 40 	 ,29 	 1,298 	 0 	 0 
 41 	 ,295 	 1,332 	 0 	 0 
 42 	 ,305 	 1,366 	 0 	 0 
 43 	 ,31 	 1,4 	 0 	 0 
 44 	 ,315 	 1,432 	 0 	 0 
 45 	 ,32 	 1,464 	 0 	 0 
 46 	 ,325 	 1,498 	 0 	 0 
 47 	 ,33 	 1,532 	 0 	 0 
 48 	 ,335 	 1,566 	 0 	 0 
 49 	 ,34 	 1,6 	 0 	 0 
 50 	 ,35 	 1,632 	 0 	 0 
 51 	 ,35 	 1,666 	 0 	 0 
 52 	 ,355 	 1,698 	 0 	 0 
 53 	 ,36 	 1,732 	 0 	 0 
 54 	 ,365 	 1,766 	 0 	 0 
 55 	 ,37 	 1,8 	 0 	 0 
 56 	 ,375 	 1,832 	 0 	 0 
 57 	 ,38 	 1,866 	 0 	 0 
 58 	 ,405 	 2,032 	 0 	 0 
 59 	 ,405 	 2,066 	 0 	 0 
 60 	 ,41 	 2,098 	 0 	 0 
 61 	 ,415 	 2,132 	 0 	 0 
 62 	 ,42 	 2,166 	 0 	 0 
 63 	 ,42 	 2,2 	 0 	 0 
 64 	 ,425 	 2,234 	 0 	 0 
 65 	 ,435 	 2,268 	 0 	 0 
 66 	 ,435 	 2,3 	 0 	 0 
 67 	 ,44 	 2,33 	 0 	 0 
 68 	 ,445 	 2,362 	 0 	 0 
 69 	 ,45 	 2,4 	 0 	 0 
 70 	 ,45 	 2,434 	 0 	 0 
 71 	 ,455 	 2,468 	 0 	 0 
 72 	 ,46 	 2,5 	 0 	 0 
 73 	 ,465 	 2,532 	 0 	 0 
 74 	 ,47 	 2,566 	 0 	 0 
 75 	 ,47 	 2,6 	 0 	 0 
 76 	 ,475 	 2,632 	 0 	 0 
 77 	 ,48 	 2,666 	 0 	 0 
 78 	 ,485 	 2,698 	 0 	 0 
 79 	 ,485 	 2,732 	 0 	 0 
 80 	 ,49 	 2,766 	 0 	 0 
 81 	 ,495 	 2,8 	 0 	 0 
 82 	 ,5 	 2,834 	 0 	 0 
 83 	 ,5 	 2,866 	 0 	 0 
 84 	 ,505 	 2,898 	 0 	 0 
 85 	 ,51 	 2,932 	 0 	 0 
 86 	 ,51 	 2,966 	 0 	 0 
 87 	 ,515 	 3 	 0 	 0 
 88 	 ,52 	 3,032 	 0 	 0 
 89 	 ,525 	 3,066 	 0 	 0 
 90 	 ,525 	 3,098 	 0 	 0 
 91 	 ,53 	 3,132 	 0 	 0 
 92 	 ,535 	 3,166 	 0 	 0 
 93 	 ,54 	 3,2 	 0 	 0 
 94 	 ,54 	 3,232 	 0 	 0 
 95 	 ,545 	 3,266 	 0 	 0 
 96 	 ,55 	 3,3 	 0 	 0 
 97 	 ,55 	 3,332 	 0 	 0 
 98 	 ,555 	 3,366 	 0 	 0 
 99 	 ,56 	 3,4 	 0 	 0 
 100 	 ,565 	 3,434 	 0 	 0 
 101 	 ,565 	 3,466 	 0 	 0 
 102 	 ,57 	 3,498 	 0 	 0 
 103 	 ,575 	 3,532 	 0 	 0 
 104 	 ,575 	 3,566 	 0 	 0 
 105 	 ,58 	 3,6 	 0 	 0 
 106 	 ,58 	 3,632 	 0 	 0 
