Symbol	Su	Sb	%elong 
Dimension	MPa	MPa	% 
1             	113,851	72,6847	-100,00 
 
Specimen	 1 
OriginalGL	 89,314 	mm	Extenso.GL	 0 mm
Width	 12,1 	mm	Thickness	 6,3 	mm
Area	 76,23 	mm2
Number	Load	Stroke	Elong	Width
X 200msec	tf	mm	mm	mm
 1 	 ,075 	 0 	 0 	 0 
 2 	 ,08 	 ,034 	 0 	 0 
 3 	 ,08 	 ,068 	 0 	 0 
 4 	 ,085 	 ,102 	 0 	 0 
 5 	 ,09 	 ,134 	 0 	 0 
 6 	 ,09 	 ,168 	 0 	 0 
 7 	 ,095 	 ,2 	 0 	 0 
 8 	 ,095 	 ,234 	 0 	 0 
 9 	 ,1 	 ,268 	 0 	 0 
 10 	 ,105 	 ,302 	 0 	 0 
 11 	 ,105 	 ,334 	 0 	 0 
 12 	 ,11 	 ,368 	 0 	 0 
 13 	 ,115 	 ,402 	 0 	 0 
 14 	 ,115 	 ,434 	 0 	 0 
 15 	 ,12 	 ,468 	 0 	 0 
 16 	 ,125 	 ,502 	 0 	 0 
 17 	 ,13 	 ,534 	 0 	 0 
 18 	 ,135 	 ,568 	 0 	 0 
 19 	 ,14 	 ,602 	 0 	 0 
 20 	 ,145 	 ,634 	 0 	 0 
 21 	 ,15 	 ,668 	 0 	 0 
 22 	 ,155 	 ,7 	 0 	 0 
 23 	 ,16 	 ,734 	 0 	 0 
 24 	 ,17 	 ,768 	 0 	 0 
 25 	 ,175 	 ,802 	 0 	 0 
 26 	 ,18 	 ,834 	 0 	 0 
 27 	 ,19 	 ,868 	 0 	 0 
 28 	 ,195 	 ,902 	 0 	 0 
 29 	 ,2 	 ,934 	 0 	 0 
 30 	 ,21 	 ,968 	 0 	 0 
 31 	 ,22 	 1,002 	 0 	 0 
 32 	 ,225 	 1,036 	 0 	 0 
 33 	 ,23 	 1,068 	 0 	 0 
 34 	 ,24 	 1,1 	 0 	 0 
 35 	 ,25 	 1,134 	 0 	 0 
 36 	 ,255 	 1,168 	 0 	 0 
 37 	 ,265 	 1,202 	 0 	 0 
 38 	 ,27 	 1,236 	 0 	 0 
 39 	 ,28 	 1,268 	 0 	 0 
 40 	 ,285 	 1,302 	 0 	 0 
 41 	 ,295 	 1,334 	 0 	 0 
 42 	 ,3 	 1,368 	 0 	 0 
 43 	 ,305 	 1,4 	 0 	 0 
 44 	 ,31 	 1,434 	 0 	 0 
 45 	 ,315 	 1,468 	 0 	 0 
 46 	 ,32 	 1,502 	 0 	 0 
 47 	 ,325 	 1,534 	 0 	 0 
 48 	 ,33 	 1,568 	 0 	 0 
 49 	 ,335 	 1,6 	 0 	 0 
 50 	 ,34 	 1,634 	 0 	 0 
 51 	 ,345 	 1,668 	 0 	 0 
 52 	 ,345 	 1,702 	 0 	 0 
 53 	 ,35 	 1,734 	 0 	 0 
 54 	 ,355 	 1,768 	 0 	 0 
 55 	 ,36 	 1,8 	 0 	 0 
 56 	 ,365 	 1,834 	 0 	 0 
 57 	 ,37 	 1,868 	 0 	 0 
 58 	 ,375 	 1,902 	 0 	 0 
 59 	 ,38 	 1,934 	 0 	 0 
 60 	 ,385 	 1,968 	 0 	 0 
 61 	 ,385 	 2,002 	 0 	 0 
 62 	 ,39 	 2,034 	 0 	 0 
 63 	 ,395 	 2,068 	 0 	 0 
 64 	 ,4 	 2,1 	 0 	 0 
 65 	 ,405 	 2,134 	 0 	 0 
 66 	 ,405 	 2,168 	 0 	 0 
 67 	 ,41 	 2,202 	 0 	 0 
 68 	 ,42 	 2,234 	 0 	 0 
 69 	 ,42 	 2,266 	 0 	 0 
 70 	 ,425 	 2,3 	 0 	 0 
 71 	 ,43 	 2,334 	 0 	 0 
 72 	 ,435 	 2,368 	 0 	 0 
 73 	 ,435 	 2,402 	 0 	 0 
 74 	 ,44 	 2,434 	 0 	 0 
 75 	 ,445 	 2,468 	 0 	 0 
 76 	 ,45 	 2,5 	 0 	 0 
 77 	 ,455 	 2,534 	 0 	 0 
 78 	 ,455 	 2,568 	 0 	 0 
 79 	 ,46 	 2,602 	 0 	 0 
 80 	 ,465 	 2,634 	 0 	 0 
 81 	 ,465 	 2,666 	 0 	 0 
 82 	 ,47 	 2,7 	 0 	 0 
 83 	 ,475 	 2,734 	 0 	 0 
 84 	 ,48 	 2,768 	 0 	 0 
 85 	 ,485 	 2,802 	 0 	 0 
 86 	 ,485 	 2,834 	 0 	 0 
 87 	 ,49 	 2,866 	 0 	 0 
 88 	 ,495 	 2,9 	 0 	 0 
 89 	 ,495 	 2,934 	 0 	 0 
 90 	 ,5 	 2,968 	 0 	 0 
 91 	 ,505 	 3,002 	 0 	 0 
 92 	 ,505 	 3,036 	 0 	 0 
 93 	 ,51 	 3,068 	 0 	 0 
 94 	 ,515 	 3,098 	 0 	 0 
 95 	 ,515 	 3,132 	 0 	 0 
 96 	 ,52 	 3,168 	 0 	 0 
 97 	 ,52 	 3,202 	 0 	 0 
 98 	 ,525 	 3,236 	 0 	 0 
 99 	 ,53 	 3,268 	 0 	 0 
 100 	 ,53 	 3,302 	 0 	 0 
 101 	 ,535 	 3,334 	 0 	 0 
 102 	 ,54 	 3,368 	 0 	 0 
 103 	 ,54 	 3,4 	 0 	 0 
 104 	 ,545 	 3,434 	 0 	 0 
 105 	 ,545 	 3,468 	 0 	 0 
 106 	 ,55 	 3,502 	 0 	 0 
